"Date","Price","Open","High","Low","Vol.","Change %"
"10/14/2021","151.37","151.25","151.40","151.21","32.50K","0.08%"
"10/13/2021","151.25","151.27","151.33","151.20","26.29K","0.00%"
"10/12/2021","151.25","151.19","151.27","151.18","25.75K","0.03%"
"10/11/2021","151.20","151.35","151.41","151.18","24.00K","-0.08%"
"10/08/2021","151.32","151.42","151.52","151.30","32.59K","-0.05%"
"10/07/2021","151.40","151.31","151.44","151.29","29.91K","0.07%"
"10/06/2021","151.30","151.51","151.53","151.28","34.17K","-0.14%"
"10/05/2021","151.51","151.63","151.67","151.49","39.73K","-0.07%"
"10/04/2021","151.61","151.59","151.67","151.50","26.70K","0.03%"
"10/01/2021","151.57","151.34","151.67","151.34","37.26K","0.13%"
"09/30/2021","151.37","151.43","151.50","151.33","37.85K","-0.03%"
"09/29/2021","151.42","151.33","151.54","151.26","40.73K","0.03%"
"09/28/2021","151.37","151.63","151.65","151.36","31.40K","-0.16%"
"09/27/2021","151.62","151.62","151.65","151.51","27.53K","0.00%"
"09/24/2021","151.62","151.85","151.92","151.56","38.72K","-0.05%"
"09/23/2021","151.69","151.88","151.88","151.69","","-0.11%"
"09/22/2021","151.86","151.82","151.89","151.76","20.54K","0.02%"
"09/21/2021","151.83","151.85","151.86","151.79","9.59K","-0.03%"
"09/20/2021","151.87","151.67","151.88","151.62","","0.13%"
"09/19/2021","151.67","151.66","151.67","151.66","","-0.03%"
"09/17/2021","151.71","151.78","151.78","151.65","24.31K","-0.05%"
"09/16/2021","151.78","151.85","151.93","151.77","29.64K","-0.05%"
"09/15/2021","151.86","151.75","151.89","151.66","27.18K","0.08%"
"09/14/2021","151.74","151.77","151.82","151.71","20.12K","-0.08%"
"09/13/2021","151.86","151.84","151.86","151.75","8.92K","0.00%"
"09/10/2021","151.86","151.88","151.96","151.82","28.82K","-0.01%"
"09/09/2021","151.88","151.85","151.94","151.85","54.79K","0.02%"
"09/08/2021","151.85","151.91","151.92","151.81","55.86K","-0.05%"
"09/07/2021","151.93","151.87","152.00","151.83","43.84K","0.03%"
"09/06/2021","151.88","151.99","152.06","151.87","27.19K","-0.07%"
"09/03/2021","151.98","152.04","152.09","151.91","31.39K","-0.05%"
"09/02/2021","152.06","152.04","152.13","152.02","27.86K","0.01%"
"09/01/2021","152.05","152.16","152.19","152.01","34.36K","-0.07%"
"08/31/2021","152.16","152.21","152.27","152.16","22.59K","-0.03%"
"08/30/2021","152.21","152.12","152.25","152.08","18.60K","0.06%"
"08/27/2021","152.12","152.20","152.20","152.09","19.56K","-0.06%"
"08/26/2021","152.21","152.22","152.24","152.07","26.41K","-0.01%"
"08/25/2021","152.23","152.25","152.30","152.20","16.88K","-0.02%"
"08/24/2021","152.26","152.28","152.37","152.25","15.45K","-0.01%"
"08/23/2021","152.28","152.39","152.41","152.27","17.67K","-0.07%"
"08/20/2021","152.39","152.36","152.42","152.34","17.18K","0.03%"
"08/19/2021","152.35","152.35","152.37","152.28","15.68K","0.01%"
"08/18/2021","152.33","152.40","152.43","152.32","18.41K","-0.04%"
"08/17/2021","152.39","152.37","152.40","152.25","17.01K","0.02%"
"08/16/2021","152.36","152.23","152.38","152.20","16.55K","0.11%"
"08/13/2021","152.20","152.20","152.22","152.13","14.68K","0.00%"
"08/12/2021","152.20","152.02","152.20","151.99","22.52K","0.11%"
"08/11/2021","152.04","152.15","152.16","152.00","21.00K","-0.07%"
"08/10/2021","152.14","152.28","152.31","152.08","25.82K","-0.01%"
"08/09/2021","152.16","152.12","152.18","152.06","","0.01%"
"08/08/2021","152.14","152.11","152.14","152.11","","-0.11%"
"08/06/2021","152.30","152.41","152.43","152.30","16.19K","-0.05%"
"08/05/2021","152.38","152.49","152.57","152.35","22.70K","-0.07%"
"08/04/2021","152.49","152.43","152.53","152.41","18.07K","0.03%"
"08/03/2021","152.44","152.30","152.46","152.29","28.34K","0.09%"
"08/02/2021","152.31","152.30","152.33","152.25","17.94K","0.01%"
"07/30/2021","152.30","152.33","152.38","152.26","20.48K","-0.01%"
"07/29/2021","152.32","152.33","152.38","152.29","17.16K","-0.02%"
"07/28/2021","152.35","152.28","152.39","152.28","22.81K","0.04%"
"07/27/2021","152.29","152.44","152.47","152.24","24.81K","-0.08%"
"07/26/2021","152.41","152.43","152.44","152.27","19.05K","-0.01%"
"07/23/2021","152.43","152.46","152.47","152.35","","-0.01%"
"07/22/2021","152.45","152.34","152.47","152.32","","0.03%"
"07/21/2021","152.40","152.45","152.62","152.40","28.73K","-0.04%"
"07/20/2021","152.46","152.36","152.54","152.34","28.33K","0.07%"
"07/19/2021","152.36","152.29","152.43","152.18","18.81K","0.07%"
"07/16/2021","152.26","152.33","152.42","152.16","30.69K","-0.05%"
"07/15/2021","152.34","152.33","152.42","152.26","20.68K","0.03%"
"07/14/2021","152.30","152.28","152.32","152.16","22.90K","0.03%"
"07/13/2021","152.25","152.19","152.26","152.16","19.47K","0.04%"
"07/12/2021","152.19","152.23","152.25","152.13","16.96K","-0.02%"
"07/09/2021","152.22","152.38","152.59","152.10","41.06K","-0.08%"
"07/08/2021","152.34","152.17","152.44","152.16","41.65K","0.09%"
